Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031249,0.869012089,0.999775474,-31.7199883,-32.64677547,9,4,0.472185295,0,0,0,0.470099386,0.949736616,0.951560991,0.999999999,FALSE,FALSE,FALSE
FBgn0031250,0.302757125,0.999775474,-116.6694203,-119.6872885,9,4,214.8268727,0,0,0,0.075922882,0.949736616,0.830332826,0.999999999,FALSE,FALSE,FALSE
FBgn0031251,0.95042131,0.999775474,-68.36820605,-68.93864881,9,4,7.131906351,0,0,0,0.57338853,0.949736616,0.998731113,0.999999999,FALSE,FALSE,FALSE
FBgn0031252,0.726164876,0.999775474,-123.2455327,-124.6605651,9,4,136.2014456,0,0,0,0.365360013,0.949736616,0.845559486,0.999999999,FALSE,FALSE,FALSE
FBgn0031253,0.913257713,0.999775474,-140.6209971,-141.3701827,9,4,258.5898729,0,0,0,0.726623278,0.949736616,0.835146162,0.999999999,FALSE,FALSE,FALSE
FBgn0031254,0.982117326,0.999775474,-131.2316679,-131.5893277,9,4,176.2102515,0,0,0,0.707876773,0.949736616,0.998996828,0.999999999,FALSE,FALSE,FALSE
FBgn0031255,0.248988586,0.999775474,-100.8399526,-104.1589264,9,4,69.19307342,0,0,0,0.044736353,0.949736616,0.935239127,0.999999999,FALSE,FALSE,FALSE
FBgn0031256,0.357612209,0.999775474,-172.4162717,-175.1677937,9,4,1169.071859,0,0,0,0.89822535,0.985045097,0.151858473,0.999999999,FALSE,FALSE,FALSE
FBgn0031257,0.442396986,0.999775474,-87.28741886,-89.68102598,9,4,17.99546723,0,0,0,0.528444254,0.949736616,0.319263555,0.999999999,FALSE,FALSE,FALSE
FBgn0031258,0.400316729,0.999775474,-131.0565523,-133.6211532,9,4,172.3218562,0,0,0,0.866515538,0.967854883,0.183688289,0.999999999,FALSE,FALSE,FALSE
FBgn0031260,0.963732093,0.999775474,-169.9000056,-170.3927223,9,4,1139.873328,0,0,0,0.827693967,0.957365469,0.89477989,0.999999999,FALSE,FALSE,FALSE
FBgn0031261,0.979789549,0.999775474,-137.945399,-138.3231064,9,4,218.174049,0,0,0,0.687260238,0.949736616,0.999896666,0.999999999,FALSE,FALSE,FALSE
FBgn0031263,0.913500055,0.999775474,-164.9917441,-165.7398782,9,4,769.0316424,0,0,0,0.509649884,0.949736616,0.985482611,0.999999999,FALSE,FALSE,FALSE
FBgn0031264,0.790172691,0.999775474,-62.97923856,-64.18360575,9,4,5.00188909,0,0,0,0.402388972,0.949736616,0.899159725,0.999999999,FALSE,FALSE,FALSE
