gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
HDAC3,FBgn0025825,1.29712039489364e-05,3.57462248360223e-05,-19.9084843490566,-35.050091854793,10,5,2.96864383296381,0,0,0,0.243847454149677,0.837562994688022,4.71293572709474e-06,1.26927928104711e-05,FALSE,TRUE,FALSE
Or19b,FBgn0062565,1.62568096522498e-05,4.42857918113011e-05,-22.9900154016833,-37.8825619621392,10,5,4.00218310218619,0,0,0,0.8199194166711,1,1.85605731315454e-06,5.29982630382681e-06,FALSE,TRUE,FALSE
Tace,FBgn0039734,2.05869025430877e-05,5.54442716217249e-05,-67.0907273572876,-81.7223475906104,10,5,86.4473978437235,0,0,0,0.948881637356273,1,2.07429941143367e-06,5.80600229640233e-06,FALSE,TRUE,FALSE
Cul3,FBgn0261268,3.54573609608549e-05,9.44201634575574e-05,-24.0428781133331,-38.071983615191,10,5,2.16000636550131,0,0,0,0.980771697738495,1,3.5981763531528e-06,9.91590460113039e-06,FALSE,TRUE,FALSE
CG34057,FBgn0054057,7.25234178446853e-05,0.000190978333657671,-45.2844498802597,-58.5164145875711,10,5,21.2577813875751,0,0,0,0.927910490341844,1,8.19620204589186e-06,2.18258414031053e-05,FALSE,TRUE,FALSE
Hey,FBgn0027788,0.000174480411845471,0.00045441601766348,-43.8946965515581,-56.1414245573429,10,5,17.2847531672138,0,0,0,0.999106452382406,1,1.9719977528969e-05,5.19292741596183e-05,FALSE,TRUE,FALSE
CG34051,FBgn0054051,0.000186449368902393,0.000480309787281164,-33.6429814448454,-45.8148894142256,10,5,3.30490302188722,0,0,0,0.291988776051859,0.974666759497051,6.90334322613226e-05,0.00017592390802079,FALSE,TRUE,FALSE
Tak1,FBgn0026323,0.00020827791779441,0.00052512623954548,-19.0976392831653,-31.144574068887,10,5,2.69438991056795,0,0,0,0.00108756107481292,0.00560330379849263,0.0151300917271031,0.034813900381781,FALSE,FALSE,FALSE
CR40182,FBgn0058182,0.000206410743731603,0.00052512623954548,-38.7271771575378,-50.7842827564918,10,5,7.66936810856379,0,0,0,0.999583435166891,1,2.3654824903882e-05,6.1606522002418e-05,FALSE,TRUE,FALSE
Pka-C1,FBgn0000273,0.000406245009161209,0.00101347439127586,-36.6621507189699,-47.9515477288658,10,5,8.56052023680615,0,0,0,0.741755997413756,1,6.58173943701041e-05,0.000169551331149073,FALSE,TRUE,FALSE
Frl,FBgn0267795,0.000592481698050142,0.00146268919206129,-72.6361000279376,-83.4947972583475,10,5,202.351102848405,0,0,0,0.0315622141560246,0.133575799196033,0.00199035137184789,0.00476478055684798,FALSE,FALSE,FALSE
CG34034,FBgn0054034,0.00207513264706384,0.00507016945725907,-28.5829707102276,-37.9936202799257,10,5,1.83178660886037,0,0,0,0.994638304018775,1,0.000299198907028156,0.00073864730172576,FALSE,TRUE,FALSE
en,FBgn0000577,0.00212010142884449,0.00512718406771575,-55.3827608114855,-64.7683761517337,10,5,58.2435568787386,0,0,0,0.732239695679303,1,0.000410003661538473,0.000991539467189981,FALSE,TRUE,FALSE
smo,FBgn0003444,0.00249840760150016,0.00598103637934888,-84.0046050659431,-93.1981578552517,10,5,490.083667978207,0,0,0,0.981655941207839,1,0.000372452240844447,0.000910012176083856,FALSE,TRUE,FALSE
asRNA:CR46105,FBgn0267774,0.00598905491566819,0.0141940601501336,-46.359800203568,-54.5194770226596,10,5,20.8867855252937,0,0,0,0.362443755895424,1,0.00253634429184729,0.00601113597167807,FALSE,FALSE,FALSE
dpp,FBgn0000490,0.00684711832585077,0.0160670004279865,-36.5807256013919,-44.5801925547305,10,5,5.14897450804664,0,0,0,0.0623799184559939,0.254897253001217,0.0151045637306024,0.034813900381781,FALSE,FALSE,FALSE
lncRNA:CR34047,FBgn0054047,0.0142513044504307,0.033113325046589,-18.0218332859856,-25.1335005015632,10,5,2.65651388443076,0,0,0,0.455555790968365,1,0.00545582545655653,0.0128022834970683,FALSE,FALSE,FALSE
